lexicon,lemma,source,strength
common,common,gradables,w
late,late,gradables,w
heavy,heavy,gradables,s
visible,visible,gradables,w
detailed,detailed,gradables,s
applicable,applicable,gradables,w
lightweight,lightweight,gradables,s
thread-safe,thread-safe,gradables,s
optimized,optimized,gradables,s
scalable,scalable,gradables,s
performant,performant,gradables,s
private,private,gradables,w
mutable,mutable,gradables,s
heavyweight,heavyweight,gradables,s
maintainable,maintainable,gradables,s
verbose,verbose,gradables,s
extensible,extensible,gradables,s
threadsafe,threadsafe,gradables,s
typical,typical,gradables,w
native,native,cooc,s
standard,standard,cooc,s
short,short,cooc,w
immutable,immutable,cooc,s
serializable,serializable,cooc,s
configurable,configurable,gradables,s
tight,tight,gradables,w
early,early,gradables,w
customizable,customizable,gradables,s
modular,modular,gradables,w
usefull,usefull,gradables,s
straight-forward,straight-forward,gradables,w
symmetric,symmetric,gradables,w
low-level,low-level,gradables,s
stateless,stateless,gradables,w
theoretical,theoretical,gradables,w
manual,manual,gradables,s
opaque,opaque,gradables,s
optimised,optimised,gradables,s
doable,doable,gradables,w
concurrent,concurrent,gradables,w
helpfull,helpfull,gradables,s
specialized,specialized,gradables,s
sparse,sparse,gradables,s
literal,literal,gradables,w
efficent,efficent,gradables,s
up-to-date,up-to-date,gradables,s
representative,representative,gradables,w
editable,editable,gradables,w
hidden,hidden,gradables,w
typed,typed,gradables,s
declarative,declarative,gradables,w
dependant,dependant,gradables,s
error-prone,error-prone,gradables,s
ignorable,ignorable,gradables,s
blank,blank,gradables,w
hacky,hacky,gradables,s
reusable,reusable,gradables,s
authenticated,authenticated,gradables,s
syntactic,syntactic,gradables,w
conventional,conventional,gradables,w
obfuscated,obfuscated,gradables,s
hardcoded,hardcoded,gradables,s
transactional,transactional,gradables,w
standalone,standalone,gradables,s
structured,structured,gradables,s
hard-coded,hard-coded,gradables,s
type-safe,type-safe,gradables,s
counter-intuitive,counter-intuitive,gradables,w
cross-platform,cross-platform,gradables,s
deprecated,deprecated,gradables,s
interchangeable,interchangeable,gradables,w
quirky,quirky,gradables,s
scoped,scoped,gradables,w
future-proof,future-proof,gradables,s
compressible,compressible,gradables,w
"immutable""","immutable""",gradables,s
light-weight,light-weight,gradables,s
nullable,nullable,gradables,w
temporary,temporary,gradables,w
embeddable,embeddable,gradables,w
infeasible,infeasible,gradables,s
automatic,automatic,gradables,s
forced,forced,gradables,s
cacheable,cacheable,gradables,s
working,working,gradables,s
instantaneous,instantaneous,gradables,w
interactive,interactive,gradables,w
non-existent,non-existent,gradables,s
unicode-aware,unicode-aware,gradables,w
unbounded,unbounded,gradables,w
pooled,pooled,gradables,w
rudimentary,rudimentary,gradables,s
obsessed,obsessed,gradables,s
production-ready,production-ready,gradables,s
importable,importable,gradables,s
asynchronous,asynchronous,gradables,w
java-like,java-like,gradables,w
standardized,standardized,gradables,w
unchanged,unchanged,gradables,w
academic,academic,gradables,w
confortable,confortable,gradables,s
object-centric,object-centric,gradables,w
indexed,indexed,gradables,w
in-memory,in-memory,gradables,w
exotic,exotic,gradables,s
"""fragile""","""fragile""",gradables,s
descriptive,descriptive,gradables,s
terse,terse,gradables,s
thread-safe),thread-safe),gradables,s
normalized,normalized,gradables,w
transient,transient,gradables,s
fine-grained,fine-grained,gradables,s
atomic,atomic,gradables,s
bearable,bearable,gradables,s
unsuitable,unsuitable,gradables,s
java-centric,java-centric,gradables,w
focused,focused,gradables,s
repeating,repeating,gradables,w
well-versed,well-versed,gradables,s
long-lived,long-lived,gradables,w
well-formed,well-formed,gradables,s
generalizable,generalizable,gradables,s
effecient,effecient,gradables,s
single-threaded,single-threaded,gradables,s
nice!,nice!,gradables,s
wordy,wordy,gradables,s
"mainstream""","mainstream""",gradables,w
non-intuitive,non-intuitive,gradables,s
imutable,imutable,gradables,s
tech-savvy,tech-savvy,gradables,w
compile-checked,compile-checked,gradables,w
structural,structural,gradables,w
minimalist,minimalist,gradables,w
huge.),huge.),gradables,s
harming,harming,gradables,s
state-less,state-less,gradables,w
populated,populated,gradables,w
contiguous,contiguous,gradables,s
long-running,long-running,gradables,s
micro-optimizing,micro-optimizing,gradables,w
resolvable,resolvable,gradables,s
suspiscious,suspiscious,gradables,s
computable,computable,gradables,s
human-readable,human-readable,gradables,s
growable,growable,gradables,s
inoccuous,inoccuous,gradables,w
intuative,intuative,gradables,s
auto-discover,auto-discover,gradables,w
demanding,demanding,gradables,s
bidirectional,bidirectional,gradables,w
widely-used,widely-used,gradables,s
localisable,localisable,gradables,s
unnescessary,unnescessary,gradables,s
symbolic,symbolic,gradables,w
programmatic,programmatic,gradables,s
knowlegable,knowlegable,gradables,s
buisy,buisy,gradables,w
uncacheable,uncacheable,gradables,s
spoofable,spoofable,gradables,s
over-technical,over-technical,gradables,s
platform-independent,platform-independent,gradables,s
blacklist,blacklist,gradables,s
undesired,undesired,gradables,s
deployable,deployable,gradables,s
divisible,divisible,gradables,s
whitelisted,whitelisted,gradables,s
photogenic,photogenic,gradables,s
"useless""","useless""",gradables,s
googlable,googlable,gradables,s
over-complicated,over-complicated,gradables,s
conceptual,conceptual,gradables,w
space-efficient,space-efficient,gradables,s
poorly-written,poorly-written,gradables,s
frustrating),frustrating),gradables,s
complicated-to-code,complicated-to-code,gradables,s
high-level,high-level,gradables,w
consumable,consumable,gradables,s
powerfull,powerfull,gradables,s
unsuited,unsuited,gradables,s
pointed,pointed,gradables,w
merged,merged,gradables,w
legible,legible,gradables,s
seemless,seemless,gradables,w
fluid,fluid,gradables,s
preferred,preferred,gradables,s
bug-free,bug-free,gradables,s
unintuitive,unintuitive,gradables,s
translatable,translatable,gradables,w
non-functional,non-functional,gradables,s
neat!,neat!,gradables,s
productive?',productive?',gradables,s
hairy,hairy,gradables,s
"""beefy""","""beefy""",gradables,w
condensed,condensed,gradables,s
demented,demented,gradables,s
changeable,changeable,gradables,s
forthcoming,forthcoming,gradables,w
"automatic""","automatic""",gradables,s
akward,akward,gradables,s
convuluted,convuluted,gradables,s
auto-completes,auto-completes,gradables,s
persistable,persistable,gradables,s
printable,printable,gradables,w
native-looking,native-looking,gradables,s
non-constant,non-constant,gradables,w
instant,instant,gradables,w
noticable,noticable,gradables,s
configureable,configureable,gradables,s
out-of-date,out-of-date,gradables,s
strange-looking,strange-looking,gradables,w
reproducable,reproducable,gradables,w
importatnt,importatnt,gradables,s
solvable,solvable,gradables,s
empirical,empirical,gradables,w
premature,premature,gradables,s
tasty,tasty,gradables,s
extensive),extensive),gradables,w
micro-tuning,micro-tuning,gradables,w
modularized,modularized,gradables,s
auto-refresh,auto-refresh,gradables,w
memory-hungry,memory-hungry,gradables,s
non-obvious,non-obvious,gradables,w
bouncy,bouncy,gradables,w
infinite,infinite,gradables,w
laborious,laborious,gradables,s
document-oriented,document-oriented,gradables,s
wide-spread,wide-spread,gradables,s
auto-detect,auto-detect,gradables,w
parametric,parametric,gradables,w
simple-looking,simple-looking,gradables,s
ergonomic,ergonomic,gradables,w
modifiable,modifiable,gradables,w
browser-displayable,browser-displayable,gradables,w
autogenerate,autogenerate,gradables,w
deferrable,deferrable,gradables,w
self-documenting,self-documenting,gradables,s
memory-expensive,memory-expensive,gradables,s
counterintuitive,counterintuitive,gradables,w
exploitable,exploitable,gradables,s
debuggable,debuggable,gradables,w
feature-light,feature-light,gradables,w
multi-core,multi-core,gradables,w
conversant,conversant,gradables,w
architectural,architectural,gradables,w
impenetrable,impenetrable,gradables,s
pluggable,pluggable,gradables,w
de-facto-standard,de-facto-standard,gradables,s
awkward!,awkward!,gradables,s
white-listed,white-listed,gradables,s
compilable,compilable,gradables,s
serializeable,serializeable,gradables,s
interlectual,interlectual,gradables,w
amateurish,amateurish,gradables,s
"persistent""","persistent""",gradables,w
posible,posible,gradables,w
brain-dead,brain-dead,gradables,s
lazy-loaded,lazy-loaded,gradables,w
unprintable,unprintable,gradables,w
unselectable,unselectable,gradables,s
assignable,assignable,gradables,w
quantitative,quantitative,gradables,w
collaborative,collaborative,gradables,w
scannable,scannable,gradables,w
fully-baked,fully-baked,gradables,w
tailored,tailored,gradables,w
tested,tested,gradables,w
serialized,serialized,gradables,s
platform-dependent,platform-dependent,gradables,s
non-portable,non-portable,gradables,s
reversible,reversible,gradables,w
mystified,mystified,gradables,s
well-maintained,well-maintained,gradables,s
discoverable,discoverable,gradables,w
findable,findable,gradables,w
successfull,successfull,gradables,s
deterministic,deterministic,gradables,s
non-reversible,non-reversible,gradables,w
meanigful,meanigful,gradables,w
"stateless""","stateless""",gradables,w
mainstream,mainstream,gradables,s
context-dependent,context-dependent,gradables,w
welcoming,welcoming,gradables,s
mind-numbing,mind-numbing,gradables,s
flexilble,flexilble,gradables,s
rigourous,rigourous,gradables,s
rest-like,rest-like,gradables,w
unsatisfied,unsatisfied,gradables,s
abstracted,abstracted,gradables,s
application-specific,application-specific,gradables,w
minuscule,minuscule,gradables,w
concisely,concisely,gradables,w
succinct,succinct,gradables,s
pristine,pristine,gradables,s
uncachable,uncachable,gradables,s
freaky,freaky,gradables,s
easy-breakable,easy-breakable,gradables,s
mind-blowing!,mind-blowing!,gradables,s
stateful,stateful,gradables,w
identifiable,identifiable,gradables,w
doable),doable),gradables,s
decoupled,decoupled,gradables,s
likeable,likeable,gradables,s
context-aware,context-aware,gradables,w
future-orientated,future-orientated,gradables,w
serialization-incompatible,serialization-incompatible,gradables,s
feature-complete,feature-complete,gradables,s
fixable,fixable,gradables,s
elegant!,elegant!,gradables,s
over-complex,over-complex,gradables,s
deserializable,deserializable,gradables,s
full-featured,full-featured,gradables,s
guessable,guessable,gradables,s
inefficient),inefficient),gradables,s
overwrought,overwrought,gradables,s
cloneable,cloneable,gradables,s
distinguishable,distinguishable,gradables,s
poor!,poor!,gradables,s
thread-safe!,thread-safe!,gradables,s
db-centric,db-centric,gradables,w
circular,circular,gradables,w
inefective,inefective,gradables,s
heavy-weight,heavy-weight,gradables,s
unnoticeable,unnoticeable,gradables,w
awesome!,awesome!,gradables,s
understadable,understadable,gradables,w
non-recurring,non-recurring,gradables,w
elusive,elusive,gradables,s
secure),secure),gradables,s
'thread-unsafe','thread-unsafe',gradables,s
nonsensical,nonsensical,gradables,s
twitchy,twitchy,gradables,s
"buggy""","buggy""",gradables,s
welcome!,welcome!,gradables,s
general,general,cooc,w
current,current,cooc,w
regular,regular,cooc,w
relational,relational,cooc,w
visual,visual,cooc,w
commercial,commercial,cooc,w
raw,raw,cooc,s
singleton,singleton,cooc,s
minimal,minimal,cooc,s
untrusted,untrusted,cooc,s
embedded,embedded,cooc,w
comparable,comparable,cooc,w
cryptographic,cryptographic,cooc,s
partial,partial,cooc,w
recursive,recursive,cooc,s
agnostic,agnostic,cooc,s
polymorphic,polymorphic,cooc,w
automated,automated,cooc,s
permanent,permanent,cooc,w
parallel,parallel,cooc,w
synthetic,synthetic,cooc,w
discouraged,discouraged,cooc,s
runnable,runnable,cooc,w
hierarchical,hierarchical,cooc,w
procedural,procedural,cooc,w
clustered,clustered,cooc,w
synchronized,synchronized,cooc,w
unidirectional,unidirectional,cooc,w
formatted,formatted,cooc,s
"helpful""","helpful""",cooc,s
synchronous,synchronous,cooc,s
ordinary,ordinary,cooc,w
occasional,occasional,cooc,w
externalizable,externalizable,cooc,s
extended,extended,cooc,s
multithreading,multithreading,cooc,s
malformed,malformed,cooc,s
unhandled,unhandled,cooc,w
serializing,serializing,cooc,w
cryptic,cryptic,cooc,s
depreciated,depreciated,cooc,s
unencrypted,unencrypted,cooc,s
configured,configured,cooc,w
multithreaded,multithreaded,cooc,s
incremental,incremental,cooc,s
guaranteed,guaranteed,cooc,w
religious,religious,cooc,w
canonical,canonical,cooc,w
typesafe,typesafe,cooc,s
ancillary,ancillary,cooc,w
unified,unified,cooc,w
undecorated,undecorated,cooc,w
predefined,predefined,cooc,w
conversational,conversational,cooc,w
duplicate,duplicate,cooc,w
asymmetric,asymmetric,cooc,s
iterable,iterable,cooc,s
threaded,threaded,cooc,s
autocomplete,autocomplete,cooc,s
translucent,translucent,cooc,w
assymetric,assymetric,cooc,s
encrypted,encrypted,cooc,s
experimental,experimental,cooc,w
downloadable,downloadable,cooc,w
digestible,digestible,cooc,w
"""hostile""","""hostile""",cooc,s
measurable,measurable,cooc,s
bare,bare,cooc,w
disparate,disparate,cooc,w
fractional,fractional,cooc,w
controlled,controlled,cooc,w
dimensional,dimensional,cooc,w
lasting,lasting,cooc,w
informed,informed,cooc,w
contextual,contextual,cooc,w
operational,operational,cooc,s
customized,customized,cooc,w
truncated,truncated,cooc,w
calculated,calculated,cooc,w
bespoke,bespoke,cooc,w
draggable,draggable,cooc,w
idiomatic,idiomatic,cooc,s
repeatable,repeatable,cooc,w
preconfigured,preconfigured,cooc,s
updatable,updatable,cooc,s
"""trusted","""trusted",cooc,s
accusatorial,accusatorial,cooc,s
"""lightweight""","""lightweight""",cooc,s
modified,modified,cooc,w
marketable,marketable,cooc,s
immutable**,immutable**,cooc,s
finite,finite,cooc,w
scientific,scientific,cooc,s
chrashy,chrashy,cooc,s
testable,testable,cooc,s
casual,casual,cooc,w
grained,grained,cooc,s
cluttered,cluttered,cooc,s
reactive,reactive,cooc,s
unanswered,unanswered,cooc,s
timeless,timeless,cooc,s
unobtrusive,unobtrusive,cooc,s
assistive,assistive,cooc,s
unecessary,unecessary,cooc,s
distant,distant,cooc,w
serialisable,serialisable,cooc,s
grey,grey,cooc,w
untyped,untyped,cooc,w
"""invalid","""invalid",cooc,s
directional,directional,cooc,w
localized,localized,cooc,s
authorized,authorized,cooc,s
negligable,negligable,cooc,s
unauthorized,unauthorized,cooc,s
unsynchronized,unsynchronized,cooc,s
'unsafe','unsafe',cooc,s
unimplemented,unimplemented,cooc,s
"""mock""","""mock""",cooc,w
deliverable,deliverable,cooc,s
"""basic","""basic",cooc,s
preferrable,preferrable,cooc,s
corruptible,corruptible,cooc,s
philosophical,philosophical,cooc,s
secured,secured,cooc,s
browsable,browsable,cooc,s
outofmemory,outofmemory,cooc,s
homegrown,homegrown,cooc,s
"""heavyweight""","""heavyweight""",cooc,s
unoptimized,unoptimized,cooc,s
discrete,discrete,cooc,s
unsecured,unsecured,cooc,s
reproduceable,reproduceable,cooc,s
limitted,limitted,cooc,s
"""illegal","""illegal",cooc,s
nontrivial,nontrivial,cooc,s
observable,observable,cooc,w
absent,absent,cooc,w
'invalid,'invalid,cooc,s
unpractical,unpractical,cooc,s
managable,managable,cooc,w
"""special""","""special""",cooc,s
great!,great!,cooc,s
dockable,dockable,cooc,w
runable,runable,cooc,w
controllable,controllable,cooc,w
hypothetical,hypothetical,cooc,w
whopping,whopping,cooc,w
unexplainable,unexplainable,cooc,s
uninitialized,uninitialized,cooc,w
pathological,pathological,cooc,s
"""robustness""","""robustness""",cooc,w
internalized,internalized,cooc,w
"""useful""","""useful""",cooc,s
unsaved,unsaved,cooc,w
"""dynamic","""dynamic",cooc,s
"""graceful","""graceful",cooc,s
'working','working',cooc,s
boilerplate,boilerplate,cooc,s
homemade,homemade,cooc,w
serialised,serialised,cooc,s
convertible,convertible,cooc,w
clickable,clickable,cooc,w
loooong,loooong,cooc,w
specious,specious,cooc,w
parallelized,parallelized,cooc,s
'partial,'partial,cooc,w
"""synchronized""","""synchronized""",cooc,w
"""natural","""natural",cooc,w
manipulating,manipulating,cooc,w
persistant,persistant,cooc,w
consuming,consuming,cooc,w
recurrent,recurrent,cooc,w
reserved,reserved,cooc,w
unboundable,unboundable,cooc,w
possibile,possibile,cooc,w
unmanaged,unmanaged,cooc,w
interoperable,interoperable,cooc,w
simple!,simple!,cooc,s
"constructive""","constructive""",cooc,s
suppressed,suppressed,cooc,w
unambitious,unambitious,cooc,w
excess,excess,cooc,w
"""hard","""hard",cooc,s
randomized,randomized,cooc,w
paralelized,paralelized,cooc,s
repeated,repeated,cooc,w
introductory,introductory,cooc,w
mechanical,mechanical,cooc,w
centralized,centralized,cooc,s
uninstalled,uninstalled,cooc,s
miniscule,miniscule,cooc,s
avoidable,avoidable,cooc,s
dodgy,dodgy,cooc,s
"""dirty""","""dirty""",cooc,s
interlocked,interlocked,cooc,w
continual,continual,cooc,w
'global,'global,cooc,w
"""installed""","""installed""",cooc,s
"""broken","""broken",cooc,s
usefully,usefully,cooc,s
retorical,retorical,cooc,s
queryable,queryable,cooc,w
intermediary,intermediary,cooc,w
standby,standby,cooc,w
intellectual,intellectual,cooc,w
compromised,compromised,cooc,w
"""advanced","""advanced",cooc,s
scorned,scorned,cooc,s
"""overkill""","""overkill""",cooc,s
feelnatural,feelnatural,cooc,s
fairy,fairy,cooc,w
orthographical,orthographical,cooc,w
granular,granular,cooc,s
infrequent,infrequent,cooc,w
"""immutable","""immutable",cooc,s
psychological,psychological,cooc,w
keepalive,keepalive,cooc,w
unordered,unordered,cooc,s
limitited,limitited,cooc,s
tricker,tricker,cooc,w
multidimensional,multidimensional,cooc,s
unreferenced,unreferenced,cooc,w
injectable,injectable,cooc,w
unserializable,unserializable,cooc,s
airy,airy,cooc,w
mitigating,mitigating,cooc,w
seminal,seminal,cooc,s
avaiable,avaiable,cooc,w
"strong""","strong""",cooc,s
legitamate,legitamate,cooc,s
"""legacy""","""legacy""",cooc,s
continous,continous,cooc,w
uncompiled,uncompiled,cooc,w
permissive,permissive,cooc,w
hardwired,hardwired,cooc,s
symetric,symetric,cooc,s
acdemic,acdemic,cooc,w
veryhandy,veryhandy,cooc,s
instructional,instructional,cooc,w
elastic,elastic,cooc,w
carefull,carefull,cooc,s
equidistant,equidistant,cooc,w
hackable,hackable,cooc,s
resonable,resonable,cooc,s
guarded,guarded,cooc,w
differentiating,differentiating,cooc,w
succesful,succesful,cooc,s
"""remote","""remote",cooc,w
crusty,crusty,cooc,s
presentable,presentable,cooc,s
decorated,decorated,cooc,s
migrated,migrated,cooc,w
duplicated,duplicated,cooc,s
provable,provable,cooc,w
enlightened,enlightened,cooc,s
automate,automate,cooc,s
ubiquitous,ubiquitous,cooc,s
featured,featured,cooc,w
upsell,upsell,cooc,w
'comfortable','comfortable',cooc,w
generalized,generalized,cooc,w
unparameterized,unparameterized,cooc,w
probabilistic,probabilistic,cooc,w
misbehaving,misbehaving,cooc,s
shortened,shortened,cooc,w
nonintrusive,nonintrusive,cooc,s
cancelable,cancelable,cooc,w
heterogeneous,heterogeneous,cooc,w
improvable,improvable,cooc,w
freakin,freakin,cooc,s
"""clumsy""","""clumsy""",cooc,s
interoperability,interoperability,cooc,s
"""effective","""effective",cooc,s
contrieved,contrieved,cooc,w
ambigous,ambigous,cooc,s
foreseeable,foreseeable,cooc,w
monetary,monetary,cooc,w
"""pretty","""pretty",cooc,s
"""severe","""severe",cooc,s
avaliable,avaliable,cooc,s
"""fast""","""fast""",cooc,s
"""fallacious","""fallacious",cooc,s
"""erasable""","""erasable""",cooc,s
recommendable,recommendable,cooc,s
poweful,poweful,cooc,s
responisble,responisble,cooc,w
'discouraged','discouraged',cooc,s
abortable,abortable,cooc,s
overloading,overloading,cooc,w
yummy,yummy,cooc,s
trackable,trackable,cooc,w
tangible,tangible,cooc,w
"""meaningless""","""meaningless""",cooc,s
wonky,wonky,cooc,s
"""complicated","""complicated",cooc,s
unbloated,unbloated,cooc,s
"unpredictable""","unpredictable""",cooc,s
gelled,gelled,cooc,w
"""untrusted","""untrusted",cooc,s
countable,countable,cooc,w
amateur,amateur,cooc,s
"inaccessible""","inaccessible""",cooc,s
unauthenticated,unauthenticated,cooc,s
intertwined,intertwined,cooc,w
reasonble,reasonble,cooc,w
unncesseary,unncesseary,cooc,s
externizable,externizable,cooc,s
"""polymorphic","""polymorphic",cooc,s
harmfull,harmfull,cooc,s
"friendly""","friendly""",cooc,s
localizing,localizing,cooc,s
august,august,cooc,s
recreational,recreational,cooc,w
beefy,beefy,cooc,w
propriatery,propriatery,cooc,s
unbuffered,unbuffered,cooc,w
'singleton','singleton',cooc,w
correct!,correct!,cooc,s
hydrated,hydrated,cooc,w
asymmetrical,asymmetrical,cooc,s
monolithic,monolithic,cooc,s
warred,warred,cooc,s
unpickable,unpickable,cooc,s
encapsulating,encapsulating,cooc,w
'mutable,'mutable,cooc,s
vulnerability],vulnerability],cooc,s
expandable,expandable,cooc,s
antipattern,antipattern,cooc,s
downvoted,downvoted,cooc,s
unintended,unintended,cooc,w
symmetrical,symmetrical,cooc,s
foundational,foundational,cooc,s
uninitialised,uninitialised,cooc,w
"""fake""","""fake""",cooc,s
"faulty""*","faulty""*",cooc,s
interpretable,interpretable,cooc,w
unstructured,unstructured,cooc,s
ideological,ideological,cooc,w
undistorted,undistorted,cooc,s
simpleminded,simpleminded,cooc,s
"""secure","""secure",cooc,s
morphological,morphological,cooc,w
disciplined,disciplined,cooc,s
reconfigurable,reconfigurable,cooc,s
displayable,displayable,cooc,w
crossdomain,crossdomain,cooc,s
bounded,bounded,cooc,w
overrideable,overrideable,cooc,w
prehistoric,prehistoric,cooc,s
accesible,accesible,cooc,w
"""sketchy""","""sketchy""",cooc,s
unperishable,unperishable,cooc,s
tuneable,tuneable,cooc,w
"""messy""","""messy""",cooc,s
"expensive""","expensive""",cooc,s
sizable,sizable,cooc,w
hackish,hackish,cooc,s
indipendant,indipendant,cooc,w
slippery,slippery,cooc,s
transitional,transitional,cooc,w
innappropriate,innappropriate,cooc,s
upvoted,upvoted,cooc,s
immersive,immersive,cooc,s
'immutable','immutable',cooc,s
unrepsonsive,unrepsonsive,cooc,w
unmodifiable,unmodifiable,cooc,w
inefficent,inefficent,cooc,s
recoverable,recoverable,cooc,s
yucky,yucky,cooc,s
unmaintained,unmaintained,cooc,w
simultanious,simultanious,cooc,w
aesthetic,aesthetic,cooc,s
aggresive,aggresive,cooc,s
customable,customable,cooc,s
slowish,slowish,cooc,s
uncontroversial,uncontroversial,cooc,s
undecipherable,undecipherable,cooc,s
agressive,agressive,cooc,s
measureable,measureable,cooc,w
promotional,promotional,cooc,w
pitty,pitty,cooc,s
awfull,awfull,cooc,s
"""squeaky","""squeaky",cooc,w
upvote,upvote,cooc,s
unfeasible,unfeasible,cooc,s
frameless,frameless,cooc,w
fizzle,fizzle,cooc,w
extendable,extendable,cooc,s
auditable,auditable,cooc,w
suboptimal,suboptimal,cooc,s
jited,jited,cooc,w
exploitative,exploitative,cooc,s
hellish,hellish,cooc,s
lossless,lossless,cooc,w
deadlocking,deadlocking,cooc,s
busted,busted,cooc,s
multilingual,multilingual,cooc,w
resiziable,resiziable,cooc,w
weired,weired,cooc,w
compressable,compressable,cooc,w
searchable,searchable,cooc,w
"""mutable","""mutable",cooc,s
deadbolt,deadbolt,cooc,w
obselete,obselete,cooc,s
unparsable,unparsable,cooc,w
immutable*,immutable*,cooc,s
proverbial,proverbial,cooc,w
resizable,resizable,cooc,w
separable,separable,cooc,w
cracking,cracking,cooc,s
speculative,speculative,cooc,s
semantical,semantical,cooc,w
compareable,compareable,gradables,""
additive,additive,gradables,""
indented,indented,gradables,""
simplier,simplier,gradables,""
stringifying,stringifying,gradables,""
